LARGEST_GIFT_AMOUNT,FIRST_GIFT_DATE,LARGEST_GIFT_DATE,LAST_GIFT_DATE,TOTAL_NUMBER_GIFTS,TOTAL_GIVING_CAPACITY,TOTAL_INCOME,TOTAL_DONATIONS,TOTAL_EAD,LARGEST_REALEST_VALUE,TOTAL_NO_EVENTS_PARTICIPATED,GENDER,LAST_GIFT_AMOUNT,Financially_In_Dept,Avg_Gift_Amount,gifting_Capcity,gift_check,age,cat_LARGEST_GIFT_AMOUNT
180.0,2008,2008,2011,3.0,118581.0,187500.0,456.0,5284.0,0.0,0.0,F,12.0,False,152.0,0.0038454727148531384,False,85.0,0
100.0,2015,2015,2015,1.0,37475.0,87500.0,100.0,1679.0,0.0,0.0,F,100.0,False,100.0,0.00266844563042028,False,60.0,0
325.0,2019,2019,2020,2.0,71600.0,375000.0,350.0,2629.0,0.0,0.0,F,25.0,False,175.0,0.004888268156424581,False,42.0,0
180.0,1999,2013,2013,5.0,40441.0,125000.0,385.0,1786.0,126120.0,0.0,F,15.0,False,77.0,0.009520041541999456,False,50.0,0
27.47,2003,2016,2016,2.0,100929.0,187500.0,52.0,4072.0,705048.0,0.0,F,27.47,False,26.235,0.0005198704039473293,False,58.0,0
180.0,2013,2013,2013,1.0,9430.0,37500.0,180.0,1004.0,0.0,0.0,M,180.0,True,180.0,0.019088016967126194,False,41.0,0
500.0,2014,2014,2021,12.0,98800.0,137000.0,42940.0,1871.0,0.0,6.0,M,20.0,False,79.16666666666667,0.009615384615384616,False,51.0,0
300.0,2011,2011,2011,1.0,5300.0,12500.0,300.0,648.0,0.0,0.0,M,300.0,False,300.0,0.05660377358490566,False,43.0,0
180.0,1995,2011,2016,19.0,48210.0,46900.0,380.0,1721.0,0.0,0.0,M,20.0,False,20.0,0.00788218211989214,False,93.0,0
200.0,2006,2011,2017,5.0,32293.0,37500.0,620.0,1202.0,340961.0,0.0,M,15.0,False,124.0,0.019199207258539002,False,62.0,0
75.0,2018,2018,2018,1.0,29521.0,25000.0,75.0,1052.0,373922.0,0.0,M,75.0,False,75.0,0.0025405643440262866,False,66.0,0
10.25,2021,2022,2022,16.0,27908.0,45000.0,159.0,1211.0,275974.0,0.0,F,10.25,False,9.93125,0.005693707897377096,False,54.0,0
180.0,2011,2011,2011,1.0,57289.0,27500.0,180.0,1889.0,672759.0,0.0,M,180.0,False,180.0,0.0031419644259805548,False,79.0,0
50.0,2017,2017,2017,1.0,104895.0,87100.0,50.0,3426.0,808853.0,0.0,M,50.0,False,50.0,0.00047666714333381,False,67.0,0
100.0,2019,2019,2019,1.0,300515.0,508000.0,100.0,9840.0,1436290.0,0.0,M,100.0,False,100.0,0.0003327620917425087,False,68.0,0
180.0,2000,2016,2021,11.0,46332.0,87500.0,645.0,1622.0,336240.0,0.0,M,15.0,False,58.63636363636363,0.01392126392126392,False,55.0,0
144.0,1998,1998,2018,2.0,81006.0,70000.0,174.0,3542.0,664637.0,0.0,F,30.0,False,87.0,0.002147989037849048,False,90.0,0
405.0,2011,2011,2011,1.0,5061.0,58200.0,405.0,1106.0,0.0,0.0,M,405.0,True,405.0,0.08002371072910491,False,31.0,0
50.0,2011,2012,2012,2.0,146033.0,225000.0,100.0,5717.0,398650.0,0.0,M,50.0,False,50.0,0.000684776728547657,False,78.0,0
1000.0,2000,2002,2002,5.0,150527.0,375000.0,2111.0,6179.0,868325.0,0.0,M,1000.0,False,422.2,0.014024062128388927,False,51.0,0
50.0,2016,2016,2016,1.0,87802.0,125000.0,50.0,3428.0,393566.0,0.0,F,50.0,False,50.0,0.0005694631101797225,False,62.0,0
250.0,2015,2015,2015,1.0,45971.0,37500.0,250.0,1477.0,274355.0,0.0,F,250.0,False,250.0,0.005438211046094277,False,86.0,0
250.0,2014,2022,2022,4.0,72895.0,187500.0,320.0,3354.0,551502.0,0.0,F,250.0,False,80.0,0.004389875848823651,False,46.0,0
400.0,2016,2016,2016,1.0,43244.0,87500.0,400.0,1554.0,366885.0,0.0,F,400.0,False,400.0,0.009249838127832763,False,51.0,0
180.0,2011,2011,2011,1.0,38332.0,70000.0,180.0,1654.0,119046.0,0.0,M,180.0,False,180.0,0.004695815506626317,False,68.0,0
250.0,2011,2012,2012,2.0,197898.0,375000.0,1851.0,7023.0,470932.0,3.0,M,250.0,False,175.0,0.0017685878583916968,False,68.0,0
144.0,2006,2007,2012,3.0,122197.0,187500.0,254.0,4829.0,488868.0,1.0,M,50.0,False,84.66666666666667,0.002078610767858458,False,74.0,0
50.0,2016,2016,2016,1.0,38540.0,47500.0,50.0,1136.0,570290.0,0.0,F,50.0,False,50.0,0.0012973533990659055,False,43.0,0
100.0,2015,2015,2015,1.0,34183.0,35000.0,100.0,927.0,597668.0,0.0,M,100.0,False,100.0,0.0029254307696808357,False,35.0,0
180.0,2013,2013,2013,1.0,21774.0,36600.0,180.0,1413.0,0.0,0.0,F,180.0,True,180.0,0.008266740148801324,False,82.0,0
200.0,2008,2012,2014,5.0,31209.0,22100.0,500.0,1117.0,366653.0,0.0,F,100.0,False,100.0,0.016021019577685924,False,79.0,0
