ID,LARGEST_GIFT_AMOUNT,BIRTH_DATE,FIRST_GIFT_DATE,LARGEST_GIFT_DATE,LAST_GIFT_DATE,TOTAL_GIFT_AMOUNT,TOTAL_NUMBER_GIFTS,TOTAL_GIVING_CAPACITY,TOTAL_INCOME,TOTAL_NETWORTH,TOTAL_DONATIONS,TOTAL_EAD,LARGEST_REALEST_VALUE,TOTAL_NO_EVENTS_PARTICIPATED,GENDER,FIRST_GIFT_AMOUNT,LAST_GIFT_AMOUNT,Financially_In_Dept,Avg_Gift_Amount,gifting_Capcity,gift_check,age,Group,Score
6692,50.0,1979-11-01,2011,2011,2011,50.0,1.0,112833.0,69300.0,1926832,50.0,2392.0,667438.0,0.0,M,50.0,50.0,False,50.0,0.0004431327714409,False,43.0,0,10.951459111403372
7348,180.0,1969-02-01,2011,2011,2011,180.0,1.0,85890.0,143000.0,1249285,180.0,3360.0,718892.0,0.0,F,180.0,180.0,False,180.0,0.0020957038071952,False,54.0,0,11.526788870956892
7408,16.67,1983-02-01,2021,2022,2022,253.73,16.0,35669.0,70000.0,364752,254.0,1289.0,470294.0,0.0,F,14.58,16.67,False,15.858125,0.0071134598671114,False,40.0,0,11.205506247873256
7624,180.0,1989-03-01,2016,2016,2017,195.0,2.0,63500.0,87500.0,897236,195.0,2158.0,445881.0,0.0,F,180.0,15.0,False,97.5,0.0030708661417322,False,34.0,0,10.802070194681527
7704,125.0,1984-01-01,2022,2022,2022,125.0,1.0,60125.0,375000.0,729065,125.0,2562.0,0.0,0.0,M,125.0,125.0,False,125.0,0.002079002079002,False,39.0,0,10.403464502059812
7715,135.0,1975-09-01,2011,2011,2011,135.0,1.0,16330.0,62500.0,50228,135.0,1306.0,23900.0,0.0,F,135.0,135.0,True,135.0,0.0082669932639314,False,47.0,0,11.582105043722265
7730,180.0,1985-04-01,2013,2013,2013,180.0,1.0,23305.0,62500.0,194782,180.0,1209.0,0.0,0.0,F,180.0,180.0,False,180.0,0.0077236644496889,False,38.0,0,11.37702235850311
7760,60.0,1975-11-01,2011,2011,2011,60.0,1.0,46766.0,47500.0,656091,60.0,1166.0,706125.0,0.0,M,60.0,60.0,False,60.0,0.0012829833639823,False,47.0,0,11.019517383140023
7818,100.0,1981-05-01,2014,2014,2014,100.0,1.0,8650.0,45000.0,12170,100.0,1092.0,0.0,0.0,F,100.0,100.0,True,100.0,0.0115606936416184,False,41.0,0,11.129535026341205
7830,50.0,2021-08-01,2009,2014,2014,165.0,4.0,35715.0,45000.0,24179,165.0,1828.0,0.0,0.0,M,50.0,50.0,True,41.25,0.0046199076018479,False,1.0,0,10.21621809478089
7835,108.9,1983-12-01,2018,2018,2018,108.9,1.0,46334.0,187500.0,446584,109.0,1923.0,324507.0,0.0,F,108.9,108.9,False,108.9,0.0023503258945914,False,39.0,0,10.772187597507713
7953,180.0,1972-05-01,2013,2013,2013,180.0,1.0,52680.0,187500.0,445727,180.0,2131.0,0.0,0.0,F,180.0,180.0,False,180.0,0.0034168564920273,False,50.0,0,11.067531323804861
8226,180.0,1981-10-01,2007,2010,2011,724.0,6.0,27283.0,87500.0,212261,724.0,1426.0,216173.0,0.0,F,144.0,15.0,False,120.66666666666669,0.0265366711871861,False,41.0,0,11.864881389452464
8252,180.0,1978-12-01,2001,2011,2012,420.0,3.0,45418.0,70000.0,578252,420.0,1334.0,585784.0,0.0,F,144.0,60.0,False,140.0,0.0092474349376899,False,44.0,0,11.518404793472499
8265,250.0,1986-07-01,2021,2021,2021,250.0,1.0,32764.0,70000.0,314196,250.0,1256.0,454271.0,5.0,F,250.0,250.0,False,250.0,0.0076303259675253,False,36.0,0,10.24381911426941
8339,50.0,1985-11-01,2009,2010,2013,100.0,3.0,15455.0,62500.0,95170,100.0,1199.0,132097.0,0.0,M,50.0,20.0,False,33.333333333333336,0.0064703979294726,False,37.0,0,10.745667903097118
8464,180.0,1982-12-01,2010,2015,2015,525.0,6.0,11184.0,62700.0,21373,525.0,1232.0,0.0,0.0,F,180.0,180.0,True,87.5,0.0469420600858369,False,40.0,0,9.949229455462307
8539,180.0,1967-08-01,2000,2011,2012,1020.0,16.0,70395.0,187500.0,544595,1020.0,2225.0,0.0,0.0,F,25.0,30.0,False,63.75,0.0144896654591945,False,55.0,0,11.643862425361204
8593,180.0,1987-12-01,2011,2014,2014,255.0,3.0,60255.0,375000.0,728302,255.0,3988.0,0.0,0.0,M,180.0,180.0,False,85.0,0.0042320139407518,False,35.0,0,10.850596630073309
8646,50.0,1992-02-01,2019,2019,2019,50.0,1.0,15661.0,62500.0,91765,50.0,1139.0,212212.0,0.0,F,50.0,50.0,False,50.0,0.0031926441478832,False,31.0,0,10.823758720633526
8689,50.0,1980-06-01,2013,2013,2013,50.0,1.0,100050.0,375000.0,1267826,50.0,4759.0,0.0,0.0,F,50.0,50.0,False,50.0,0.0004997501249375,False,42.0,0,10.836744302691882
8704,50.0,1966-01-01,2011,2011,2011,50.0,1.0,27331.0,47500.0,256824,50.0,1270.0,222627.0,0.0,F,50.0,50.0,False,50.0,0.0018294244630639,False,57.0,0,11.500320306744353
8711,180.0,1981-10-01,2011,2015,2015,770.0,5.0,50533.0,125000.0,596232,770.0,1653.0,545257.0,0.0,M,180.0,180.0,False,154.0,0.0152375675301288,False,41.0,0,11.371907993437844
8779,450.0,1980-06-01,2011,2011,2011,450.0,1.0,76167.0,89800.0,1161909,5663.0,2432.0,712134.0,0.0,M,450.0,450.0,False,450.0,0.0059080704241994,False,42.0,0,11.370334526220706
9081,450.0,1978-05-01,2011,2011,2011,450.0,1.0,44856.0,62500.0,581899,450.0,1284.0,613122.0,0.0,F,450.0,450.0,False,450.0,0.0100321027287319,False,44.0,0,12.06670596842779
9112,500.0,1977-06-01,2012,2014,2016,1990.0,7.0,10040.0,35000.0,7968,1990.0,1019.0,0.0,0.0,F,400.0,15.0,True,284.2857142857143,0.198207171314741,False,45.0,0,2.2304978869018193
9129,100.0,1984-09-01,2019,2019,2019,100.0,1.0,21640.0,68600.0,167793,100.0,1257.0,0.0,0.0,M,100.0,100.0,False,100.0,0.0046210720887245,False,38.0,0,10.488347612693998
9235,100.0,1973-09-01,2011,2011,2011,100.0,1.0,48850.0,187500.0,417339,100.0,2095.0,0.0,0.0,M,100.0,100.0,False,100.0,0.0020470829068577,False,49.0,0,11.081749569903256
9432,180.0,1988-04-01,2007,2014,2014,465.0,5.0,12091.0,44800.0,65810,465.0,1027.0,0.0,0.0,F,144.0,15.0,False,93.0,0.0384583574559589,False,35.0,0,11.119763100873211
9473,180.0,1978-06-01,2007,2010,2011,424.0,3.0,28425.0,47500.0,293085,424.0,1146.0,351011.0,0.0,F,144.0,55.0,False,141.33333333333334,0.0149164467897977,False,44.0,0,11.819534826528919
9502,100.0,1986-03-01,2014,2014,2014,100.0,1.0,8850.0,62500.0,20450,100.0,1199.0,0.0,0.0,F,100.0,100.0,True,100.0,0.0112994350282485,False,37.0,0,11.118166175766792
